album,image,lyrics,title,year,peak
,https://images.genius.com/3045315574d18ee6ad9c61a19cfc1854.1000x1000x1.jpg,"[Verse 1]
Oh yeah
Have yourself a little merry Christmas
Let your heart be light
From now on your troubles will be out of sight, mmm oh yeah

[Verse 2]
Have yourself a little merry Christmas
Make the Yuletide gay
From now on our troubles will be miles away, oh

[Verse 3]
Here we are as in olden days
Happy golden days of yores
Faithful friends who are dear to us
Gather near to us once more, ooh

[Chorus]
Through the years we all will be together
If the fates allow
Until then we'll have to muddle through somehow
And have yourself a merry little Christmas now",Have Yourself A Merry Little Christmas,,
Unreleased ,https://images.genius.com/275cf721fa35e4cf0c56c55aff7db28b.350x350x1.png,Lyrics will be available upon release. Stay tuned!,Her,,
Unreleased ,https://images.genius.com/852889edf34068537cc77ed3fad56486.481x481x1.jpg,"[Intro]
Higher... uh huh

[Verse 1]
Been running 'round in circles tryna find the end
Bumped into this shy guy while chilling with my friends
He's eyeing me, sizing me, makes my body weak
He's bringing out the freak in me

Only been a minute since you came in
And changed my life
When I get around you, I fell this spark ignite

[Chorus]
I got that fire
You got me open
You dig it deeper
We take it higher

I got that fire
You got me open
You dig it deeper
We take it higher

[Verse 2]
Crazy, what we're doing- living, letting go (go, go)
Riding, having good times and no one has to know
He's eyeing me, sizing me, makes my body weak
He's bringing out the freak in me

It's only been a minute since you came in
And changed my life
When I get around you, I fell this spark ignite

[Chorus]

[Bridge]
We got that jam, make them dance
Make them lose their minds, mmhmm
We got that jam, make them dance
Make them lose their minds, oh yeah

We got that jam, make them dance
Make them lose their minds, uh huh
We got that jam, make them dance
Make them lose their minds yeah, yeah, yeah

[Chorus x2]",Higher,10/22/2008,
Yours Truly,https://images.genius.com/c2b278cfc788637a98a5b39be1846dc4.1000x1000x1.jpg,"[Intro: Leon Thomas III]
It's The Rascals!

[Verse 1]
I looked in my rear view mirror
And it seemed to make a lot more sense
Than what I see ahead of us, ahead of us
I'm ready to make that turn
Before we both crash and burn
'Cause that can be the death of us, the death of us

[Pre-Chorus]
Baby, you know how to drive in rain
And you decided not to make a change
Stuck in the same old lane
Going the wrong way home

[Chorus]
I feel like my heart is stuck in bumper-to-bumper traffic
I'm under pressure 'cause I can't have you the way that I want
Let's just go back to the way it was
When we were on Honeymoon Avenue
Honeymoon Avenue, baby
Coasting like crazy
Can we get back to the way it was?

[Verse 2]
Hey, what happened to the butterflies?
Guess they encountered that stop sign
And my heart is at a yellow light, a yellow light
Hey, right when I think that we’ve found it
Well, that’s when we start turning around
You're saying, ""Baby, don't worry.""
But we're still going the wrong way

[Pre-Chorus]
Baby, you know how to drive in rain
And you decided not to make a change
Stuck in the same old lane
Going the wrong way home

[Chorus]
I feel like my heart is stuck in bumper-to-bumper traffic
I'm under pressure 'cause I can't have you the way that I want
Let's just go back to the way it was
When we were on Honeymoon Avenue
Honeymoon Avenue, baby
Coasting like crazy
Can we get back to the way it was?

[Bridge]
They say only fools fall in love
Well, they must've been talking about us
Sometimes I feel like I've been here before
I could be wrong, but I know I'm right
We're gonna be lost if we continue to fight
Honey, I know that we can find our way home

[Chorus]
I feel like my heart is stuck in bumper-to-bumper traffic
I'm under pressure 'cause I can't have you the way that I want
Let's just go back to the way it was
When we were on Honeymoon Avenue
Honeymoon Avenue, my baby
Coasting like crazy
Can we get back to the way it was?
When we were on Honeymoon Avenue
Honeymoon Avenue, baby
Coasting like crazy
Can we get back to the way it was?

[Breakdown]
Baby, you know how to drive in rain
And you decided not to make a change
Stuck in the same old lane
Going the wrong way home

[Outro]
I feel like my heart is stuck in... traffic
I'm under... pressure, pressure
Let's just go back to the way it was
When we were on...
(Honeymoon Avenue, Honeymoon Avenue, Honeymoon Avenue, Honeymoon Avenue)
Let's just go back, back, back",Honeymoon Avenue,8/30/2013,
Unreleased ,https://images.genius.com/275cf721fa35e4cf0c56c55aff7db28b.350x350x1.png,Lyrics will be available upon release. Stay tuned!,I've Heard It Both Ways,,
Unreleased ,https://images.genius.com/275cf721fa35e4cf0c56c55aff7db28b.350x350x1.png,"No lyrics at this time


This is a rumored song!!!",I Ain't Shit,,
Dangerous Woman,https://images.genius.com/cb1ddb60083b8e3f4e4f82984dbf768f.1000x1000x1.jpg,"[Verse 1]
Used to cry 'bout some crazy shit before
I used to feel so obligated to be so much more
I used to let some people tell me how to live and what to be
But if I can't be me, the fuck's the point?
No...

[Chorus]
I don't care about it anymore, oh
I don't care about it anymore

[Verse 2]
Now I laugh about the things that used to be important to me
Used to have a hold on me, used to have a hold on me
Like what do you think, and what he thinks, and what they think
But I love me

[Chorus]
I don't care about it anymore, oh
I don't care about it anymore

[Outro]
Yeah
I-I-I...
I-I-I don't care about it anymore
I-I-I don't care about it anymore",I Don't Care,5/20/2016,
,https://images.genius.com/9a04b76244e7b2af3c348279bf6b03d0.1000x1000x1.jpg,"[Hook 1]
I don't wanna be, to be alone baby
Unless I'm alone, unless I'm alone with ya
Cause it won't be, cause it won't be
Cause it won't be, cause it won't
I hold you close, I hold you close darling
The way that I use to, the way that I use to
Cause it won't be, cause it won't be
Cause it won't be, cause it won't...

[Chorus 1]
There's people on the sidewalk, there's music in the air
Everyone is smiling, I'm wishing you were here
To put this smile on my face, the way that you used to do
Cause all I want for Christmas, is Christmas time with you

[Hook 2]
I don't want to be alone for Christmas
Unless I'm alone with you
Cause it won't be Christmas
It won't be Christmas
I just want to hold you close for Christmas
The way that I used to do
Cause it won't be Christmas
It won't be
Unless I'm alone with you

[Chorus 2]
Sittin' by the fire, I'll hold you in my arms
Keep from the cold night, you'll be safe and warm
We raise a glass together, to love that never dies
I'll be spending Christmas, looking in your eyes

There's no better time to be together
There's no sadder time to be alone
Hurry back and please come home
Stay with me and make my dreams come true

[Hook 2]
I don't want to be alone for Christmas
Unless I'm alone with you
Cause it won't be Christmas
It won't be Christmas
I just want to hold you close for Christmas
The way that I used to do
Cause it won't be Christmas
It won't be
Unless I'm alone with you


[Chorus 2]
I don't wanna spend this time without you
I just want to hold you close to me
Kiss beside the Christmas tree
Baby say you'll be coming home

[Hook 2]X2
I don't want to be alone for Christmas
Unless I'm alone with you
Cause it won't be Christmas
It won't be Christmas
I just want to hold you close for Christmas
The way that I used to do
Cause it won't be Christmas
It won't be
Unless I'm alone with you",I Don't Want To Be Alone For Christmas,,
,https://images.genius.com/cebda04cd362dbdaf12d697e42907ba3.850x850x1.jpg,"Share my life
Take me for what I am
Cause I'll never change
All my colors for you
Take my love
I'll never ask for too much
Just all that you are
And everything that you do
I don't really need to look
Very much further
I don't want to have to go
Where you don't follow
I will hold it back again
This passion inside
Can't run from myself
There's nowhere to hide

[Chorus]
Don't make me close one more door
I don't want to hurt anymore
Stay in my arms if you dare
Or must I imagine you there
Don't walk away from me
I have nothing, nothing, nothing
If I don't have you, you, you, you, you
You see through
Right to the heart of me
You break down my walls
With the strength of your love
I never knew
Love like I've known it with you
Will a memory survive
One I can hold on to?
I don't really need to look
Very much further
I don't want to have to go
Where you don't follow
I will hold it back again
This passion inside
I can't run from myself
There's nowhere to hide
Your love I'll remember forever
Don't make me close one more door
I don't want to hurt anymore
Stay in my arms if you dare
Or must I imagine you there
Don't walk away from me
I have nothing, nothing, nothing
Don't make me close one more door
I don't want to hurt anymore
Stay in my arms if you dare
Or must I imagine you there
Don't walk away from me
No, don't walk away from me
Don't you dare walk away from me
I have nothing, nothing, nothing
If I don't have you, you
If I don't have you, oh, ooo yea",I Have Nothing,,
Dangerous Woman,https://images.genius.com/8cb124754c813c5231a333b984711669.1000x1000x1.jpg,"[Verse 1]
I'm so into you, I can barely breathe
And all I wanna do is to fall in deep
But close ain't close enough, 'til we cross the line, hey yeah
So name a game to play, and I'll roll the dice, hey

[Pre-Chorus]
Oh baby, look what you started
The temperature's rising in here
Is this gonna happen?
Been waiting and waiting for you to make a move
Before I make a move

[Chorus]
So baby come light me up, and maybe I'll let you on it
A little bit dangerous, but baby that's how I want it
A little less conversation, and a little more touch my body
'Cause I'm so into you, into you, into you
Got everyone watchin' us, so baby let's keep this secret
A little bit scandalous, but baby don't let them see it
A little less conversation, and a little more touch my body
'Cause I'm so into you, into you, into you, oh yeah

[Verse 2]
This could take some time, hey
Made too many mistakes
Better get this right, right, baby

[Pre-Chorus]
Oh baby, look what you started
The temperature's rising in here
Is this gonna happen?
Been waiting and waiting for you to make a move
Before I make a move

[Chorus]
So baby come light me up, and maybe I'll let you on it
A little bit dangerous, but baby that's how I want it
A little less conversation and a, little more touch my body
'Cause I'm so into you, into you, into you
Got everyone watchin' us, so baby, let's keep this secret
A little bit scandalous, but baby don't let them see it
A little less conversation and a, little more touch my body
'Cause I'm so into you, into you, into you, oh yeah
('Cause I'm so into you)

[Bridge]
Tell me what you came here for
'Cause I can't, I can't wait no more
I'm on the edge with no control
And I need, I need you to know
You to know, oh

[Chorus]
So baby come light me up, and maybe I'll let you on it
A little bit dangerous, but baby that's how I want it
A little less conversation and a, little more touch my body
'Cause I'm so into you, into you, into you
Got everyone watchin' us, so baby let's keep this secret
A little bit scandalous, but baby don't let them see it
A little less conversation and a, little more touch my body
'Cause I'm so into you, into you, into you

[Outro]
So come light me up
So come light me up, my baby
Little dangerous
A little dangerous, my boy
A little less conversation and a, little more touch my body
'Cause I'm so into you, into you, into you",Into You,5/6/2016,13
Unreleased ,https://images.genius.com/275cf721fa35e4cf0c56c55aff7db28b.350x350x1.png,"[Verse 1:]
In your hands
I turn into something better than I am
I forget just where I end and you begin
Baby, I'm the only one that gave a damn
So take my hand

[Verse 2:]
I wanna run
We could run like waterfalls and chase the sun
We could stay up late, so faded and get done
Baby, you're the only one I wanna love
So let's run

[Pre-Chorus:]
My fingertips trace the silhouette of your skin
And your lips taste like heaven but I'll taste them with gin
Body touch, won't you understand
In your hands
I'm in your hands

[break]

[Verse 3:]
You're the paint, I'm the canvas
Gonna be just what I am
I'll be every masterpiece you ever made
I know I'm risky, I'm the risk you wanna take
Ain't no mistake

[Pre-Chorus:]
My fingertips trace the silhouette of your skin
And your lips taste like heaven but I'll taste them with gin
Body touch, won't you understand
In your hands
I'm in your hands

[break]",In Your Hands,10/21/2018,
Unreleased ,https://images.genius.com/275cf721fa35e4cf0c56c55aff7db28b.350x350x1.png,"You brought me up to my melting point
And your lack of love leaves me paranoid
Oh, oh, and now, how the hell am I supposed to win
When you wear me out and you spread me thin
Oh, oh

It’s like you’re only here to help yourself
Or only keep me sweet to build your wealth
Unfortunate for you, my eyes see clear
And then the second it goes wrong
And darling, you’ll be packed up and be gone

Is it time I just let go?
Cause I can’t do this on my own
Cause it ain’t right, no it ain’t right
And I was never good enough
And it ain’t right, no it ain’t right
And all I ever did was love
And it ain’t right, no it ain’t right
And I was never good enough
And it ain’t right, no it ain’t right
I know I did it all for love

Started strong without a care
And as time went on you left me bare
Oh, oh, blinded by your faulty truth
It didn’t take me long to see through you
Oh, oh

It’s like you’re only here to help yourself
Or only keep me sweet to build your wealth
Unfortunate for you, my eyes see clear
And then the second it goes wrong
And darling you’ll be packed up and be gone

Is it time I just let go?
Cause I can’t do this on my own
Cause it ain’t right, no it ain’t right
And I was never good enough
And it ain’t right, no it ain’t right
And all I ever did was love
And it ain’t right, no it ain’t right
And I was never good enough
And it ain’t right, no it ain’t right
I know I did it all for love

I took off too fast
I jumped overboard
I would have finished last
So I, I’m shoving you down
There’s nothing I need
When you’re around

Is it time I just let go?
Cause I can’t do this on my own
Cause it ain’t right, no it ain’t right
And I was never good enough
And it ain’t right, no it ain’t right
And all I ever did was love
And it ain’t right, no it ain’t right
And I was never good enough
And it ain’t right, no it ain’t right
I know I did it all for love",It Ain't Right,,
Dangerous Woman,https://images.genius.com/08c59196c0a0d76c813a4f334a82ead7.1000x1000x1.jpg,"[Verse 1]
Yeah, you really tried
But I was blind to all the lies you told me, boy
All the shit you've done
You can't outrun the way you undersold me

[Pre-Chorus 1]
You acted like you bought me at a bargain sale
You don't even care
You focused your frustration on a small detail
Blew it out of scale, like my ponytail

[Chorus]
Well, if you don't want to see the girl I want to be
Then why, then why should I listen?
If you don't want to do the things I need from you
Goodbye, goodbye
'Cause I gave it away, I gave it away, I gave it away
And I'm taking it right back, hey

[Verse 2]
I'm no blow up doll, no free-for-all
No slave to your decision, ooh
Gotta find a way to break the spell
To get the hell away from those who block my vision

[Pre-Chorus 2]
You used me as a fragment of your grand design, hey
And you, you don't get to put me on your bottom line
You don't get what's mine, and I'm doing fine

[Chorus]
Said you don't want to see the girl I want to be
Then why, then why would I listen?
If you don't want to do the things I need from you
Goodbye, goodbye
'Cause I gave it away, I gave it away, I gave it away
I'm taking it right back, baby

[Chorus]
Well, if you don't want to see the girl I want to be
Then why, then why should I listen?
If you don't want to do the things I need from you
Goodbye, goodbye
'Cause I gave it away, I gave it away, I gave it away, I gave it away
And I'm taking it right back, hey
Taking it right back, baby
I'm taking it right back, hey",Jason's Song (Gave It Away),5/20/2016,
Unreleased ,https://images.genius.com/275cf721fa35e4cf0c56c55aff7db28b.350x350x1.png,Lyrics for this song have yet to be released. Please check back once the song has been released,Juice,,
My Everything,https://images.genius.com/3187877fdee0425edaa163c81d2a1e90.1000x1000x1.jpg,"[Verse 1]
I don't ever ask you where you've been
And I don't feel the need to know who you're with
I can't even think straight
But I can tell that you were just with her
And I'll still be a fool
I'm a fool for you

[Chorus]
Just a little bit of your heart
Just a little bit of your heart
Just a little bit of your heart is all I want
Just a little bit of your heart
Just a little bit of your heart
Just a little bit is all I'm asking for

[Verse 2]
I don't ever tell you how I really feel
'Cause I can't find the words to say what I mean
And nothing's ever easy, that's what they say
I know I'm not your only
But I'll still be a fool
'Cause I'm a fool for you

[Chorus]
Just a little bit of your heart
Just a little bit of your heart
Just a little bit of your heart is all I want
Just a little bit of your heart
Just a little bit of your heart
Just a little bit is all I'm asking for

[Bridge]
Just a little bit, oh yeah
I know I'm not your only, but at least I'm one
I heard a little love is better than none
Oh, babe

[Chorus]
Just a little bit of your heart
Just a little bit of your heart
Just a little bit of your heart is all I want
Just a little bit of your heart
Just a little bit of your heart
Just a little bit is all I'm asking for
Just a little bit of your heart
Just a little bit of your heart
Just a little bit of your heart is all I want
Just a little bit of your heart
Just a little bit of your heart
Just a little bit is all I'm asking for",Just a Little Bit of Your Heart,8/22/2014,
,https://images.genius.com/285268c9b4e93680f6e01377fb478df9.814x814x1.jpg,"[Intro]
Just for now, just for now, just for now
Just for now, just for now, just for now

[Verse 1]
How did you know? It's what I always wanted
Could never have too many of these
Will you quit kicking me under the table
I'm trying, will somebody make her shut up about it?
Can we settle down please?

[Chorus]
It's that time of year
Leave all our hopelessnesses aside
(If just for a little while)
Tears stop right here
I know we've all had a bumpy ride
(I'm secretly on your side)

[Interlude]
Bite tongue, deep breaths
Count to ten, nod your head

[Verse 2]
I think something is burning
Now you've ruined the whole thing
Muffle the smoke alarm
Whoever put on this music had better quick, sharp, remove it
Pour me another. Oh, don't wag your finger at me

[Chorus]
It's that time of year
Leave all our hopelessnesses aside
(If just for a little while)
Tears stop right here
I know we've all had a bumpy ride
(I'm secretly on your side)

[Bridge]
Get me out of here
Get me out of here
Get me out of here

Get me out of here
Get me out of here
Get me out of here

Get me out of here
Get me out of here
Get me out of here

Get me out of here
Get me out of here
Get me out of here

Get me out of here
Get me out of here
Get me out of here

Get me out of...

[Outro]
Just for now, just for now...",Just For Now,1/23/2013,
Dangerous Woman,https://images.genius.com/42bc34fde7d75334c999ef6ca5725c14.550x550x1.jpg,"[Verse 1]
Say you could turn me on
Boy, but that's about it
You can say what you wanna
But I wouldn't believe it
You could write all them songs
That's the game that you play
Tryna right all them wrongs
But you can't make me stay

[Pre-Chorus]
'Cause I, see right through you, boy
And I, I ain't feeling you no more
I ain't feelin' you no more

[Chorus]
If you knew better
Boy, you would do better
Can't nobody love you like I do
Baby, I could do better
Boy, if you knew better
You would do better
Baby, if you love me like I love you
Maybe we could be together
'Cause ain't nobody like me, ain't nobody like me
Ain't nobody like me, ain't nobody like me
Ain't nobody like me
Ain't nobody like me
Ain't nobody like me
Ain't nobody like me
Ain't nobody like me
Ain't nobody like me, baby

[Verse 2]
Make a mistake, you better learn from it
Play with tea, you get burned from it
My daddy always told me if he makes you cry
He ain't the one, you better run from him
Used to get to me mentally
I don't fuck with your energy
If you knew better, you would do better
But you don't know shit, so I'll do better
Got a new 'do, and some new shoes
Just to go with my new boo
Loving me like he used to
And I ain't even worried 'bout it this time (shit)
I know he gon' be the one to treat me just right (just right)
Never had a motherfucker this tight (sheesh)
So baby, this is what your soulmate look like
I look good, right?

[Chorus]
If you knew better
Boy, you would do better
Can't nobody love you like I do
Baby, I could do better
Boy, if you knew better
You would do better
Baby, if you love me like I love you
Maybe we could be together
'Cause ain't nobody like me, ain't nobody like me
Ain't nobody like me, ain't nobody like me
Ain't nobody like me
Ain't nobody like me
Ain't nobody like me
Ain't nobody like me
Ain't nobody like me
Ain't nobody like me, baby

[Outro]
Ain't nobody like me, ain't nobody like me...",Knew Better (Part 2),9/15/2016,
Christmas Kisses - EP,https://images.genius.com/51262a226e9fd447e4ee1cb0000e6b40.1000x1000x1.png,"[Verse 1]
I hate that I remember
I wish I could forget what you did last December
You left my heart a mess
Boy, you blew it
How could you do it, do it?
Oh, yeah

[Chorus]
Last Christmas, I gave you my heart
But the very next day you gave it away
This year to save me from tears, I'll give it to someone special
Last Christmas, I gave you my heart
But the very next day you gave it away
This year to save me from tears, I'll give it to someone special

[Verse 2]
Thought we belong together
At least that's what you said
I should have known better
You broke my heart again
Boy, you blew it
How could you do it, do it?
Oh, yeah

[Chorus]
Last Christmas, I gave you my heart
But the very next day you gave it away
This year to save me from tears, I'll give it to someone special
Last Christmas, I gave you my heart
But the very next day you gave it away
This year to save me from tears, I'll give it to someone special

[Bridge]
How could you leave Christmas morning?
You broke my heart with no warning
Boy, you blew it
How could you do it, do it?
Oh, yeah

[Chorus]
Last Christmas, I gave you my heart
But the very next day you gave it away
This year to save me from tears, I'll give it to someone special
Last Christmas, I gave you my heart
But the very next day you gave it away
This year to save me from tears, I'll give it to someone special

[Outro]
This is our last, last Christmas
You broke my heart
Last, last Christmas
You broke my heart
This year to save me from tears, I'll give it to someone special
I hate that I remember
I wish I could forget what you did last December
You left my heart a mess
You blew it
You do it, do it?",Last Christmas,11/19/2013,
Unreleased ,https://images.genius.com/275cf721fa35e4cf0c56c55aff7db28b.350x350x1.png,"[Pre-Chorus]
...
I just wanna drink pink champagne with you
With you

[Chorus]
La vie en rose
I wanna live la vie en rose
Let's... 'til the sun
I, I wanna live la vie en rose
Let's... 'til the sun

[Verse 2]
Oh
...
I wanna live... just with you
With you, you

[Pre-Chorus]
...
I just wanna drink pink champagne with you
With you

[Chorus]
La vie en rose
I wanna live la vie en rose
Let's... 'til the sun
I, I wanna live la vie en rose
Let's... 'til the sun

[Bridge]
...

[Chorus]
La vie en rose
I wanna live la vie en rose
Let's... 'til the sun
I, I wanna live la vie en rose
Let's... 'til the sun
I, I wanna live la vie en rose
Let's... 'til the sun
Let's... 'til the sun",La Vie En Rose,,
Unreleased ,https://images.genius.com/74743bb4a6d0f3fe998ad5a673b918b8.850x850x1.jpg,"[Verse]
There's a dangerous love, boy
You're no good for me, darling
Yeah, you turn me away like I'm begging for a dollar
Danger, baby
Oh, how you hold me
I get a chill inside
And nothing frightens me darlin'

[Bridge]
Danger, danger, dangerous darlin'
Danger, danger, dangerous boy
Danger, danger, dangerous darlin'
He's a dangerous boy

[Outro]
Na-na-na-na-na
Na-na-na-na-na baby
Na-na-na-na-na
Na-na-na-na-na-na-na-na
Na-na-na-na-na (baby)
Na-na-na-na-na baby
Na-na-na-na-na (na-na-na)
He's a dangerous boy",Leave Me Lonely (Part 2),2/3/2017,
Dangerous Woman,https://images.genius.com/a0457334423b0d9e793d779a9512e90a.1000x1000x1.jpg,"[Refrain: Macy Gray]
Dangerous love
You’re no good for me, darling
Yeah, you turn me away
Like I’m begging for a dollar
Danger, oh, how you hold me
I get a chill inside
And nothing frightens me, baby, oh

[Verse 1: Ariana Grande]
Is it love when so easily you said goodbye?
Is it love when we’ve given up before we tried?
Is it love when you stole my peace of mind?
Is it love when you cry, and cry and cry?

[Pre-Chorus: Ariana Grande]
So when you walk out that door
Don’t you come back no more
My heart has had enough of the give and take
And as much as I want you to stay

[Chorus 1: Ariana Grande]
You’re a dangerous love
Maybe you’re no good for me, darling
Cause if you’re gonna love me and leave me hanging here
Then I’d rather you leave me lonely
Even though it hurts
Ooh, you’re a dangerous love, oh

[Refrain: Macy Gray]
Dangerous love
You’re no good for me, darling
Yeah, you turn me away
Like I’m begging for a dollar
Danger, oh, how you hold me
I get a chill inside
And nothing frightens me, baby, oh

[Pre-Chorus: Ariana Grande]
So when you walk out that door
Don’t you come back no more
My heart has had enough of the give and take
And as much as I want you to stay

[Chorus 2: Ariana Grande]
You’re a dangerous love
Maybe you’re no good for me, darling
Cause if you’re gonna love me and leave me hanging here
Then I’d rather you leave, leave me lonely
Even though it hurts
You’re a dangerous love, baby

[Refrain: Macy Gray]
Dangerous love
You’re no good for me, darling
Yeah, you turn me away
Like I’m begging for a dollar
Danger, oh, how you hold me
I get a chill inside
And nothing frightens me, baby, oh",Leave Me Lonely,5/20/2016,
,https://images.genius.com/285268c9b4e93680f6e01377fb478df9.814x814x1.jpg,"What it will be it will be
I let it rain
Why was your whole life fulfilled

Ah, oh, ah, oh
Well I think it's getting dark out baby
No thanks I don't need your yellow umbrella ever right now
Ah, oh, ah, oh
Well you better get in the car
Could you move on
I can't wait for the skies to open up its heart

And let it rain
Let the sun shine down on me
I let it rain
Because you gotta deal with it anyway
I let it rain
What it will be it will be
I let it rain
Why was your life so fulfilled

I let it rain (Imma let it rain, yeah)
Let the sun shine down on me
I let it rain
Because you gotta deal with it anyway
I let it rain (I let it rain)
What it will be it will be
I let it rain (oh let it rain)
Why was your whole life fulfilled",Let It Rain,12/7/2008,
Dangerous Woman,https://images.genius.com/211b14679ffb4c91e99dd191680a4239.1000x1000x1.jpg,"[Verse 1: Ariana Grande]
I just broke up with my ex
Now I’m out here single, I don’t really know what’s next
But I ain’t even trippin', I'mma chill and sit back
And I know they will be coming from the right
And the left, left, left
I just broke up with my ex and
You're the one I’m feeling as I'm laying on your chest
Good conversation got me holding my breath
And I don’t normally say this but goddamn
You the best, best, best

[Pre-Chorus: Ariana Grande]
And if it feels right, promise I don't mind
And if it feels right, promise I'll stay here all night

[Chorus: Ariana Grande]
Just let me lo-o-o-o-o-o-o-love you, you
Just let me lo-o-o-o-o-o-o-love you, you
Just let me lo-o-o-o-o-o-o-love you, you
Just let me lo-o-o-o-o-o-o-love you, you

[Verse 2: Ariana Grande]
As I'm laying on your chest
I'll be out here thinkin' 'bout it, boy, it's just a guess
But something just keeps telling me I'm better than the rest
And I ain't tryna rush you, but goddamn, I'm a mess, mess, mess

[Pre-Chorus: Ariana Grande]
And if it feels right, promise I don't mind
And if it feels right, promise I'll stay here all night

[Chorus: Ariana Grande]
Just let me lo-o-o-o-o-o-o-love you, you
Just let me lo-o-o-o-o-o-o-love you, you
Just let me lo-o-o-o-o-o-o-love you, you
Just let me lo-o-o-o-o-o-o-love you, you

[Verse 3: Lil Wayne]
I say ""Girl, you need a hot boy""
She say ""you need to stop fuckin' with them thots, boy""
I say ""You need a real nigga,"" she said, ""Yes, Lord""
And what you need your ex for? I'm triple X, Lord
Okay, Ariana my lil mama, goodbye to the good girl
My ex tripping, it's no Biggie, I 2Pac, shook her
I'm laid up with my new thing, she lay her head on my new chain
Then the mood change, my name change from 'Lil Wayne' to 'Ooh, Wayne'
Oh Lord, she grinding on this Grande, oh Lord
I'm drowning, I'm gonna need that coast guard
And when it comes to that nigga, I give her amnesia
She just looking for love, she says she single and I'm her feature
Oh, my God

[Chorus: Ariana Grande & Lil Wayne]
(You're no good, but it's time I love you, baby)
Just let me lo-o-o-o-o-o-o-love you, you
Tunechi, Mula baby
Just let me lo-o-o-o-o-o-o-love you, you
(But it's time I love you, yeah, yeah, ah)
Just let me lo-o-o-o-o-o-o-love you, you
She's looking for love
(I'm looking for love)
Just let me lo-o-o-o-o-o-o-love you, you
She's looking for love
(You're looking for love baby)
Just let me lo-o-o-o-o-o-o-love you, you
She's looking for love
Just let me lo-o-o-o-o-o-o-love you, you
(I'm looking for love babe)
She's just looking for love
She's just looking for love

[Outro: Lil Wayne & Ariana Grande]
I'mma give her that love
He gon' gimme that love
She's just looking for love
Boy, I'm looking for love, baby
I'mma give her that love
I'mma give her that...
I'mma give her that...",Let Me Love You,4/18/2016,99
Christmas Kisses - EP,https://images.genius.com/83db8d500e345e20a627a6019c2e4450.1000x1000x1.jpg,"[Verse 1]
It’s time for us to all give something
All around the world this time of year
As a matter of fact it won’t cost you nothing
It’s in your heart you got it right there, you got it right there

[Pre-Chorus]
The truth is your heart is the biggest gift you can give anyone
I know we can do it
Cause when I look around there’s enough for everyone
If you spend a little time, look deep inside
Search your heart and I'm sure you’ll find
That the best gift you can give this Christmas

[Chorus]
All we need is love, love is all we need
Love underneath the tree, love is everything
All we need is love, love is all we need
Let your heart believe that love is everything

[Verse 2]
We'll give it all cause it’s the season
Spreading lots of joy and lots of cheer
If you need a cost, if you need a reason
It's the gift that just won’t disappear, won’t disappear

[Pre-Chorus]
The truth is your heart is the biggest gift you can give anyone
I know we can do it
Cause when I look around there’s enough for everyone
If you spend a little time, look deep inside
Search your heart and I'm sure you’ll find
That the best gift you can give this Christmas

[Chorus]
All we need is love, love is all we need
Love underneath the tree, love is everything
All we need is love, love is all we need
Let your heart believe that love is everything

[Bridge]
Love who you love, no one can judge
Follow your heart and don’t give up
Cause that’s what this day’s about
So grab ‘em close and hold them in
And don’t let go, cause Christmas is here

[Chorus]
All we need is love, love is all we need
Love underneath the tree, love is everything
All we need is love, love is all we need
Let your heart believe that love is everything",Love Is Everything,11/26/2013,
The Remix,https://images.genius.com/5dfc56f9075c505a9e5074663a5eb22d.1000x1000x1.jpg,"[Chorus]
'Cause if you want to keep me
You gotta, gotta, gotta, gotta
Got to love me harder
And if you really need me
You gotta, gotta, gotta, gotta
Got to love me harder (lo-love me harder)
Ooh-ooh-ooh-ooh
Love me, love me, love me
Ooh-ooh-ooh-ooh
Harder, harder, harder

[Instrumental Drop]

[Chorus]
'Cause if you want to keep me
You gotta, gotta, gotta, gotta
Got to love me harder
And if you really need me
You gotta, gotta, gotta, gotta
Got to love me harder (lo-love me harder)
Ooh-ooh-ooh-ooh
Love me, love me, love me
Ooh-ooh-ooh-ooh
Harder, harder, harder

[Instrumental Drop]",Love Me Harder (Gregor Salto Amsterdam Mix),5/25/2015,
